                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.88605,                 1.2279,                 1.0046,                0.26692,                0.13645,                0.13037,                0.09528,                 1.2056,                 3.0049,                 1.0651,               0.006733,               0.006733,               0.006733
                     35,                0.90425,                 1.2098,                 1.0108,                0.19091,                0.16264,                0.10518,                0.07901,                  1.183,                 2.9542,                 1.0564,               0.006634,               0.006634,               0.006634
                     36,                0.87589,                 1.1576,                 1.0043,                 0.2285,                0.15385,                0.10432,                0.07564,                 1.1765,                 3.0545,                 1.0601,               0.006535,               0.006535,               0.006535
                     37,                0.88672,                 1.1662,                0.99564,                0.17243,                0.17349,                0.12674,                0.09702,                 1.1944,                 3.0763,                 1.0585,               0.006436,               0.006436,               0.006436
                     38,                0.87354,                 1.1498,                0.99844,                0.34824,                0.11978,                   0.11,                0.08522,                 1.1639,                 3.0318,                 1.0538,               0.006337,               0.006337,               0.006337
                     39,                0.86582,                  1.103,                0.98825,                0.17732,                0.18789,                0.14143,                0.11036,                  1.182,                 3.0726,                 1.0508,               0.006238,               0.006238,               0.006238
                     40,                0.84137,                 1.0493,                0.97986,                 0.2517,                0.12941,                0.10544,                0.07867,                 1.1877,                 3.1041,                 1.0591,               0.006139,               0.006139,               0.006139
                     41,                0.84629,                 1.0615,                 0.9839,                0.22763,                0.16523,                0.11445,                0.08651,                 1.2024,                 3.0795,                 1.0666,                0.00604,                0.00604,                0.00604
                     42,                0.83118,                 1.0288,                 0.9762,                0.33505,                 0.1225,                0.09652,                0.06996,                 1.1979,                 3.2114,                 1.0469,               0.005941,               0.005941,               0.005941
                     43,                0.82787,                 1.0262,                0.97885,                0.22731,                0.13566,                0.08975,                0.06608,                 1.2093,                  3.159,                 1.0773,               0.005842,               0.005842,               0.005842
                     44,                0.82272,                0.99998,                0.97618,                0.09753,                0.22993,                0.12576,                0.08954,                 1.1765,                 3.1742,                 1.0455,               0.005743,               0.005743,               0.005743
                     45,                0.79459,                0.95135,                0.96005,                0.37748,                0.14635,                0.11085,                0.08857,                 1.1565,                 3.1743,                 1.0669,               0.005644,               0.005644,               0.005644
                     46,                0.81912,                0.97762,                0.98067,                 0.2876,                0.17668,                0.12611,                0.09581,                 1.1343,                 3.0558,                 1.0464,               0.005545,               0.005545,               0.005545
                     47,                0.79189,                0.91715,                0.97018,                0.19013,                0.15955,                0.11942,                0.08822,                 1.1554,                 3.2409,                 1.0575,               0.005446,               0.005446,               0.005446
                     48,                0.80215,                0.93469,                0.96858,                0.32709,                 0.1038,                0.09358,                 0.0726,                 1.1753,                 3.2887,                 1.0449,               0.005347,               0.005347,               0.005347
                     49,                0.79947,                0.92031,                0.96242,                0.25354,                0.14266,                0.10466,                0.08146,                 1.1693,                 3.1564,                  1.046,               0.005248,               0.005248,               0.005248
                     50,                0.79155,                0.91716,                 0.9675,                0.11069,                0.13752,                0.10106,                0.07747,                 1.1722,                 3.1865,                 1.0709,               0.005149,               0.005149,               0.005149
