                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3364,                 3.0271,                 1.3248,                0.32376,                0.10529,                0.05491,                0.04208,                 1.3854,                 3.0964,                  1.224,               0.006733,               0.006733,               0.006733
                     35,                 1.3404,                 3.0514,                 1.3372,                0.31499,                0.13309,                0.07855,                0.06524,                 1.3373,                 3.0329,                 1.2025,               0.006634,               0.006634,               0.006634
                     36,                 1.3527,                 3.0751,                 1.3559,                0.34398,                0.13253,                 0.0593,                0.04344,                 1.3784,                 3.0834,                 1.2161,               0.006535,               0.006535,               0.006535
                     37,                 1.3137,                 3.0046,                 1.3095,                0.39874,                0.11434,                0.06604,                0.04851,                 1.3617,                 3.2883,                  1.223,               0.006436,               0.006436,               0.006436
                     38,                 1.3215,                  2.987,                 1.3271,                0.37778,                0.16719,                0.08611,                0.06701,                 1.3446,                 3.1059,                 1.2061,               0.006337,               0.006337,               0.006337
                     39,                 1.3258,                 3.0206,                 1.3331,                 0.3227,                 0.1192,                0.08283,                0.06536,                 1.3361,                 3.0452,                 1.2116,               0.006238,               0.006238,               0.006238
                     40,                 1.2962,                 2.9472,                 1.3025,                0.43862,                0.09808,                0.08115,                0.06647,                 1.3588,                 3.1546,                 1.2089,               0.006139,               0.006139,               0.006139
                     41,                 1.3178,                 2.9808,                 1.3163,                0.43495,                0.10284,                0.10653,                0.08167,                 1.3326,                 2.9437,                 1.2224,                0.00604,                0.00604,                0.00604
                     42,                 1.3171,                 2.9543,                 1.3266,                0.36411,                0.12241,                0.10322,                0.08546,                 1.3499,                 3.0114,                 1.1987,               0.005941,               0.005941,               0.005941
                     43,                 1.2902,                 2.9711,                 1.3216,                0.42712,                0.08925,                0.07446,                0.05706,                 1.2958,                  2.936,                 1.1719,               0.005842,               0.005842,               0.005842
                     44,                 1.2831,                 2.9187,                 1.2998,                0.33246,                 0.1189,                 0.0564,                0.04207,                 1.3182,                 3.0471,                 1.1879,               0.005743,               0.005743,               0.005743
                     45,                 1.2448,                 2.8822,                 1.2657,                0.43613,                0.13231,                0.12395,                0.10365,                 1.3101,                 2.9832,                 1.1897,               0.005644,               0.005644,               0.005644
                     46,                  1.271,                  2.921,                 1.3129,                 0.2521,                0.12768,                0.05725,                0.03947,                  1.321,                 2.9909,                 1.1915,               0.005545,               0.005545,               0.005545
                     47,                 1.2718,                 2.9156,                 1.3136,                0.35733,                0.14027,                0.09455,                0.07325,                 1.3853,                 3.0948,                 1.2146,               0.005446,               0.005446,               0.005446
                     48,                   1.28,                 2.9022,                 1.3109,                0.46287,                0.10158,                0.07452,                0.05311,                 1.3253,                 3.2102,                 1.2132,               0.005347,               0.005347,               0.005347
                     49,                   1.26,                 2.8472,                 1.2858,                0.37764,                0.12068,                0.10026,                0.08085,                 1.3298,                  2.984,                 1.1999,               0.005248,               0.005248,               0.005248
                     50,                 1.2618,                 2.8608,                 1.3139,                0.40635,                0.15825,                0.09432,                0.07111,                 1.3186,                 2.9938,                 1.1991,               0.005149,               0.005149,               0.005149
                     51,                  1.241,                 2.8365,                 1.2932,                0.42161,                0.11076,                0.06794,                0.04929,                  1.321,                 3.2037,                   1.21,                0.00505,                0.00505,                0.00505
                     52,                 1.2298,                  2.844,                 1.2789,                 0.3592,                0.08756,                 0.0572,                0.03841,                 1.3478,                 3.0887,                 1.2066,               0.004951,               0.004951,               0.004951
                     53,                 1.2625,                 2.8493,                 1.2922,                0.41616,                0.11568,                0.07212,                0.05322,                 1.3133,                 3.0174,                 1.1974,               0.004852,               0.004852,               0.004852
                     54,                 1.2425,                 2.8216,                 1.2793,                 0.3001,                0.13484,                0.08961,                0.06845,                 1.2947,                 2.9475,                 1.1695,               0.004753,               0.004753,               0.004753
                     55,                 1.2258,                 2.8165,                 1.2776,                0.32809,                0.11959,                0.08868,                0.06869,                 1.3324,                 3.0035,                 1.2097,               0.004654,               0.004654,               0.004654
                     56,                 1.2199,                 2.7992,                 1.2845,                0.45412,                 0.1224,                 0.0745,                0.05721,                 1.2687,                 2.9128,                 1.1807,               0.004555,               0.004555,               0.004555
                     57,                 1.2275,                  2.782,                 1.2748,                0.37997,                0.11629,                0.07272,                0.04972,                 1.3196,                 2.8933,                 1.2094,               0.004456,               0.004456,               0.004456
                     58,                 1.1941,                 2.7499,                  1.254,                0.39249,                0.14232,                0.08349,                0.06169,                 1.3157,                 2.9638,                 1.2133,               0.004357,               0.004357,               0.004357
                     59,                 1.2013,                 2.7432,                 1.2624,                0.42151,                0.12303,                0.10284,                0.08111,                 1.3038,                 2.9324,                 1.1981,               0.004258,               0.004258,               0.004258
                     60,                 1.2019,                 2.7294,                 1.2536,                0.26252,                0.12545,                0.07104,                0.04939,                 1.3211,                 2.9324,                 1.1856,               0.004159,               0.004159,               0.004159
                     61,                 1.2044,                 2.7212,                  1.255,                0.35392,                0.14708,                0.09073,                  0.067,                 1.2885,                 2.8806,                 1.1906,                0.00406,                0.00406,                0.00406
                     62,                 1.1929,                 2.7133,                 1.2539,                0.39846,                 0.1279,                0.06345,                0.04664,                 1.2833,                 3.0944,                 1.1799,               0.003961,               0.003961,               0.003961
                     63,                 1.2233,                 2.6814,                 1.2562,                0.38044,                0.13617,                0.08392,                0.06345,                 1.2726,                 2.9407,                  1.177,               0.003862,               0.003862,               0.003862
                     64,                 1.1895,                  2.725,                 1.2612,                0.35853,                0.10872,                0.09302,                  0.072,                 1.2536,                 2.9103,                 1.1683,               0.003763,               0.003763,               0.003763
                     65,                 1.1843,                 2.6796,                  1.254,                0.34233,                0.14571,                0.08248,                0.05842,                 1.3033,                 2.9229,                 1.2201,               0.003664,               0.003664,               0.003664
                     66,                  1.195,                 2.6415,                 1.2567,                0.40385,                0.12308,                0.10296,                0.08257,                 1.3102,                 2.9031,                 1.2085,               0.003565,               0.003565,               0.003565
                     67,                 1.2136,                  2.692,                 1.2611,                0.35031,                0.12177,                0.08389,                 0.0594,                 1.3038,                 2.9338,                 1.2029,               0.003466,               0.003466,               0.003466
                     68,                 1.1772,                 2.6463,                  1.234,                0.33658,                0.15544,                0.09069,                0.06894,                 1.2891,                  2.906,                 1.1958,               0.003367,               0.003367,               0.003367
                     69,                 1.1645,                  2.606,                 1.2411,                0.34845,                0.15975,                0.07898,                0.05804,                 1.2713,                 2.9141,                 1.1954,               0.003268,               0.003268,               0.003268
                     70,                  1.138,                 2.5365,                 1.2118,                 0.3782,                0.09596,                0.07537,                0.05907,                 1.2951,                 2.9929,                 1.2132,               0.003169,               0.003169,               0.003169
