                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1588,                 5.0808,                 1.1767,                 0.0094,                0.04339,                0.00943,                0.00821,                  1.187,                 4.7367,                 1.0441,                 0.0704,              0.0032889,              0.0032889
                      1,                 1.2478,                    4.4,                 1.2123,                 0.5981,                0.04658,                0.05319,                 0.0427,                  1.401,                 3.6932,                  1.146,               0.040072,              0.0062944,              0.0062944
                      2,                 1.3143,                 4.1402,                 1.2481,                0.38403,                 0.0812,                 0.0266,                0.01787,                 1.4659,                 3.8416,                 1.1414,              0.0094144,                0.00897,                0.00897
                      3,                 1.3717,                 3.9853,                 1.2663,                0.24986,                0.08138,                 0.0246,                0.01753,                 1.4913,                 4.0432,                 1.2724,               0.008515,               0.008515,               0.008515
                      4,                 1.3611,                 3.8603,                 1.2716,                0.41766,                0.06691,                0.03013,                0.01884,                 1.5148,                 3.6935,                 1.2134,               0.008515,               0.008515,               0.008515
                      5,                 1.3671,                 3.7861,                 1.2656,                0.28847,                 0.0931,                0.03818,                0.02595,                 1.4362,                 3.5736,                 1.1342,                0.00802,                0.00802,                0.00802
                      6,                 1.3328,                 3.6383,                 1.2404,                0.36362,                0.08428,                0.03405,                0.02404,                 1.4108,                  3.489,                 1.1591,               0.007525,               0.007525,               0.007525
                      7,                 1.2942,                 3.5312,                 1.2092,                0.30522,                0.18267,                0.05657,                0.04174,                  1.392,                 3.2324,                 1.1192,                0.00703,                0.00703,                0.00703
                      8,                 1.2679,                   3.47,                 1.1967,                0.31104,                0.14297,                0.05746,                 0.0422,                 1.3624,                 3.3127,                  1.111,               0.006535,               0.006535,               0.006535
                      9,                 1.2592,                 3.3227,                 1.2029,                0.41502,                0.08855,                0.05085,                0.03503,                 1.3294,                 3.1731,                 1.0951,                0.00604,                0.00604,                0.00604
                     10,                  1.187,                 3.7038,                 1.1538,                0.32394,                0.10908,                0.07547,                 0.0603,                 1.4023,                 3.2301,                  1.116,               0.005545,               0.005545,               0.005545
                     11,                 1.1749,                 3.6089,                 1.1467,                0.41852,                0.13612,                0.07144,                0.05079,                 1.3439,                 3.1405,                 1.1109,                0.00505,                0.00505,                0.00505
                     12,                 1.1735,                  3.533,                 1.1491,                0.44267,                0.09817,                0.07583,                0.05477,                 1.3055,                 3.0518,                 1.1085,               0.004555,               0.004555,               0.004555
                     13,                 1.1252,                 3.4359,                 1.1375,                0.33428,                0.07809,                0.06232,                 0.0457,                 1.3612,                 3.1785,                 1.1289,                0.00406,                0.00406,                0.00406
                     14,                 1.0882,                 3.3704,                 1.1048,                 0.5894,                0.10966,                0.08463,                0.05821,                 1.2976,                  3.073,                 1.0797,               0.003565,               0.003565,               0.003565
                     15,                 1.0717,                 3.2652,                 1.1015,                0.33997,                0.15963,                0.08533,                0.06354,                 1.2889,                  3.029,                 1.0782,                0.00307,                0.00307,                0.00307
                     16,                 1.0553,                 3.2109,                 1.0819,                0.31667,                0.14049,                0.10443,                0.06737,                 1.2942,                 2.9716,                 1.0836,               0.002575,               0.002575,               0.002575
                     17,                 1.0226,                 3.0939,                 1.0722,                0.46604,                0.12202,                0.08956,                0.06483,                 1.2355,                 2.8606,                 1.0441,                0.00208,                0.00208,                0.00208
                     18,                0.99695,                 3.0224,                 1.0579,                0.30741,                0.16654,                0.09107,                0.06434,                  1.238,                 2.8603,                 1.0576,               0.001585,               0.001585,               0.001585
                     19,                0.97963,                 2.9697,                 1.0435,                 0.2839,                 0.1363,                 0.0921,                0.06431,                 1.2424,                 2.8329,                 1.0621,                0.00109,                0.00109,                0.00109
