                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4677,                 3.2822,                 1.4452,                0.34449,                0.06475,                0.04095,                0.02991,                 1.3898,                 3.1269,                 1.2931,               0.006634,               0.006634,               0.006634
                     36,                 1.5181,                  3.307,                  1.477,                 0.4363,                0.10476,                0.05031,                0.03544,                 1.4473,                  3.347,                 1.3164,               0.006535,               0.006535,               0.006535
                     37,                 1.4907,                 3.3395,                  1.475,                0.44994,                0.08575,                0.05853,                0.03998,                 1.4128,                 3.4747,                 1.2866,               0.006436,               0.006436,               0.006436
                     38,                 1.4636,                 3.2316,                 1.4406,                0.50164,                0.05685,                0.04819,                0.03582,                 1.4717,                 3.2676,                 1.5645,               0.006337,               0.006337,               0.006337
                     39,                 1.4764,                  3.315,                 1.4888,                0.53282,                0.06578,                0.05347,                0.03956,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                 1.4668,                 3.3137,                 1.4497,                0.49103,                0.05653,                0.04442,                0.03294,                 1.3419,                 3.1199,                 1.2687,               0.006139,               0.006139,               0.006139
                     41,                 1.4439,                 3.2951,                 1.4425,                0.47594,                 0.0507,                0.08087,                0.06543,                 1.3509,                  3.129,                 1.2793,                0.00604,                0.00604,                0.00604
                     42,                 1.4279,                 3.3221,                 1.4221,                0.38913,                0.10457,                0.06036,                0.04658,                 1.3221,                 3.1104,                 1.2577,               0.005941,               0.005941,               0.005941
                     43,                  1.451,                 3.2949,                 1.4594,                0.41199,                0.07211,                0.04436,                0.03175,                  1.325,                 3.1176,                 1.2551,               0.005842,               0.005842,               0.005842
                     44,                 1.4236,                 3.2311,                 1.4475,                0.41522,                0.12752,                0.08228,                0.06258,                 1.3197,                 3.1572,                 1.2689,               0.005743,               0.005743,               0.005743
                     45,                 1.4326,                 3.2739,                 1.4398,                0.49448,                0.06242,                0.07948,                0.06259,                  1.321,                 3.1246,                 1.2684,               0.005644,               0.005644,               0.005644
                     46,                 1.4412,                 3.2284,                 1.4421,                0.41071,                0.08413,                0.11034,                0.08686,                 1.3525,                 3.0944,                 1.2769,               0.005545,               0.005545,               0.005545
                     47,                 1.4217,                 3.2262,                 1.4475,                0.42406,                0.15773,                0.06115,                0.04699,                 1.4095,                 3.2407,                 1.2946,               0.005446,               0.005446,               0.005446
                     48,                 1.4198,                 3.2195,                 1.4203,                0.45517,                0.06977,                0.05408,                0.03914,                 1.3742,                 3.1399,                 1.2963,               0.005347,               0.005347,               0.005347
                     49,                 1.4005,                 3.1655,                 1.4118,                0.45989,                0.08066,                 0.0642,                0.05183,                 1.2785,                  3.087,                 1.2259,               0.005248,               0.005248,               0.005248
                     50,                 1.3909,                  3.199,                 1.4193,                 0.4675,                0.10824,                0.07016,                0.05566,                  1.321,                 3.2075,                 1.2604,               0.005149,               0.005149,               0.005149
                     51,                 1.3678,                 3.1735,                 1.4017,                0.49712,                0.09246,                0.06344,                0.04748,                 1.3654,                 3.9701,                   1.29,                0.00505,                0.00505,                0.00505
                     52,                 1.3974,                 3.1625,                 1.4055,                0.35599,                0.07161,                0.06534,                0.04925,                 1.3161,                 2.9927,                 1.2468,               0.004951,               0.004951,               0.004951
                     53,                 1.4016,                 3.1394,                 1.4051,                0.44045,                 0.1206,                0.09877,                0.08128,                  1.308,                 3.1004,                  1.261,               0.004852,               0.004852,               0.004852
                     54,                 1.3766,                 3.1349,                 1.4144,                0.40884,                0.13176,                0.07669,                 0.0608,                 1.2833,                 3.0485,                 1.2343,               0.004753,               0.004753,               0.004753
                     55,                 1.3811,                 3.1398,                 1.4276,                0.43769,                0.11292,                0.06785,                0.05575,                 1.3159,                 3.3865,                 1.2646,               0.004654,               0.004654,               0.004654
                     56,                 1.3408,                 3.0887,                 1.3919,                0.40248,                 0.0785,                0.07223,                0.05662,                 1.2997,                 2.9947,                 1.2756,               0.004555,               0.004555,               0.004555
                     57,                 1.3887,                 3.1032,                 1.4029,                0.54674,                0.10835,                0.07072,                0.05535,                 1.3212,                 3.1066,                 1.2381,               0.004456,               0.004456,               0.004456
                     58,                 1.3614,                   3.11,                  1.402,                0.42413,                0.06514,                0.05394,                0.04076,                 1.2594,                 3.2378,                  1.223,               0.004357,               0.004357,               0.004357
                     59,                 1.3543,                  3.065,                  1.393,                0.44537,                0.13359,                0.05764,                 0.0445,                 1.2872,                 3.0453,                 1.2476,               0.004258,               0.004258,               0.004258
                     60,                 1.3314,                 3.0467,                 1.3607,                0.37146,                0.06777,                0.06312,                0.04682,                  1.273,                 2.9986,                 1.2468,               0.004159,               0.004159,               0.004159
                     61,                 1.3599,                 3.0509,                 1.3964,                0.39239,                0.07243,                0.06598,                0.05263,                 1.2565,                 3.0201,                 1.2319,                0.00406,                0.00406,                0.00406
                     62,                 1.3107,                 3.0136,                 1.3571,                0.50154,                0.10282,                0.08684,                0.06988,                 1.2258,                 2.9439,                 1.1991,               0.003961,               0.003961,               0.003961
                     63,                 1.3429,                 3.0121,                 1.3841,                0.44059,                0.10661,                0.09346,                0.07107,                 1.2722,                 3.0944,                 1.2288,               0.003862,               0.003862,               0.003862
                     64,                 1.3322,                 3.0284,                 1.3768,                0.39803,                0.14003,                0.07557,                0.05966,                  1.242,                 2.9021,                 1.2247,               0.003763,               0.003763,               0.003763
                     65,                 1.3383,                 3.0139,                 1.3846,                0.41267,                0.11811,                0.06947,                0.05356,                 1.2646,                 3.0572,                 1.2164,               0.003664,               0.003664,               0.003664
                     66,                 1.3368,                 2.9951,                 1.3722,                0.36576,                0.13798,                0.07265,                 0.0586,                 1.2793,                 3.0147,                  1.245,               0.003565,               0.003565,               0.003565
                     67,                 1.3096,                 2.9771,                 1.3458,                0.49221,                0.11301,                0.09487,                0.07601,                 1.2238,                 3.0041,                 1.2179,               0.003466,               0.003466,               0.003466
                     68,                 1.3117,                 2.9525,                 1.3589,                0.45535,                0.14827,                0.09649,                0.07846,                 1.2048,                 2.9262,                 1.1943,               0.003367,               0.003367,               0.003367
                     69,                 1.3136,                 2.9644,                 1.3635,                0.42423,                  0.093,                0.07629,                0.05916,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                     70,                 1.2714,                 2.8967,                 1.3275,                0.38626,                0.15274,                0.08985,                0.07142,                 1.2096,                 2.9465,                 1.1931,               0.003169,               0.003169,               0.003169
                     71,                 1.2873,                 2.9333,                   1.36,                0.32059,                0.14292,                0.07475,                0.06124,                 1.1841,                 2.9329,                 1.1743,                0.00307,                0.00307,                0.00307
